JesusFilm	O Filme JESUS — Ellomwe [lon]	images
35	A entrada triunfal de Jesus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/ellomwe.html
36	Jesus chora por Jerusalém	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/ellomwe.html
37	Jesus expulsa os vendedores do Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/ellomwe.html
38	A oferta da viúva	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/ellomwe.html
39	Anás questiona a autoridade de Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/ellomwe.html
40	A parábola da vinha e dos obreiros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/ellomwe.html
41	Jesus fala sobre pagar impostos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/ellomwe.html
42	A última ceia	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/ellomwe.html
43	Ensinamentos durante a ceia da Páscoa	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/ellomwe.html
44	Jesus é traído e preso	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/ellomwe.html
45	Pedro nega Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/ellomwe.html
46	Jesus é ridicularizado e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/ellomwe.html
47	Jesus é levado perante Pilatos	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/ellomwe.html
48	Jesus é levado até Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/ellomwe.html
49	Jesus é condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/ellomwe.html
50	Jesus carrega sua cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/ellomwe.html
51	Jesus é crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/ellomwe.html
52	Os soldados lançam sortes sobre as vestes de Jesus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/ellomwe.html
53	A placa na cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/ellomwe.html
54	Os condenados crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/ellomwe.html
55	A morte de Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/ellomwe.html
56	Jesus é sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/ellomwe.html
57	Os anjos no túmulo	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/ellomwe.html
58	O túmulo está vazio	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/ellomwe.html
59	Jesus, o Ressurreto, aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/ellomwe.html
60	A grande comissão e a ascensão	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/ellomwe.html
61	Convite para conhecer Jesus pessoalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/ellomwe.html
