JesusFilm	La Película JESÚS — Ellomwe [lon]	images
29	Jesús pasa tiempo con los pecadores	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/ellomwe.html
30	Sanidad en el día sábado	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/ellomwe.html
31	La parábola del buen samaritano	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/ellomwe.html
32	La sanidad de Bartimeo	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/ellomwe.html
33	Jesús y Zaqueo	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/ellomwe.html
34	Jesús predice su muerte y resurrección	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/ellomwe.html
35	La entrada triunfal de Jesús	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/ellomwe.html
36	Jesús llora por Jerusalén	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/ellomwe.html
37	Jesús expulsa a los mercaderes del Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/ellomwe.html
38	La ofrenda de la viuda	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/ellomwe.html
39	Anás cuestiona la autoridad de Jesús	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/ellomwe.html
40	La parábola de la viña y los obreros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/ellomwe.html
41	El pago de impuestos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/ellomwe.html
42	La última cena	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/ellomwe.html
43	Enseñanzas durante la cena de  la Pascua	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/ellomwe.html
44	Jesús es traicionado y arrestado	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/ellomwe.html
45	Pedro niega a Jesús	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/ellomwe.html
46	Jesús es escarnecido e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/ellomwe.html
47	Jesús es llevado ante Pilato	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/ellomwe.html
48	Jesús es llevado ante Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/ellomwe.html
49	Jesús es condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/ellomwe.html
50	Jesús carga su cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/ellomwe.html
51	Jesús es crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/ellomwe.html
52	Los soldados apuestan por la ropa de Jesús	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/ellomwe.html
53	El letrero en la cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/ellomwe.html
54	Los condenados son crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/ellomwe.html
55	La muerte de Jesús	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/ellomwe.html
56	Jesús es sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/ellomwe.html
57	Los ángeles en la tumba	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/ellomwe.html
58	La tumba está vacía	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/ellomwe.html
59	Jesús resucitado aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/ellomwe.html
60	La gran comisión y la ascensión	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/ellomwe.html
61	Invitación para conocer a Jesús personalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/ellomwe.html
