JesusFilm	De JEZUS Film — Adele [ade]	images
46	Jezus wordt bespot en ondervraagd	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/.html
47	Jezus wordt voor Pilatus gebracht	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/.html
48	Jezus wordt voor Herodes gebracht	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/.html
49	Jezus veroordeeld	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/.html
50	Jezus draagt zijn kruis	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/.html
51	Jezus wordt gekruisigd	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/.html
52	Soldaten werpen lot over kleed van Jezus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/.html
53	Teken op het kruis	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/.html
54	Gekruisigde rovers	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/.html
55	Dood van Jezus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/.html
56	Begrafenis van Jezus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/.html
57	Engelen bij het graf	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/.html
58	Het graf is leeg	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/.html
59	Opgestane Jezus verschijnt	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/.html
60	Grote opdracht en hemelvaart	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/.html
61	Uitnodiging om Jesus persoonlijk te leren kennen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/.html
