JesusFilm	The JESUS Film — Adele [ade]	images	
39	Hannas befragt Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/.html
40	Gleichnis vom Weinberg und den Pächtern	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/.html
41	Steuern für Cesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/.html
42	Das letzte Abendmahl	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/.html
43	Jesus lehrt beim Abendmahl	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/.html
44	Verrat und Festnahme von Jesus	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/.html
45	Petrus verleugnet Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/.html
46	Jesus wird verspottet	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/.html
47	Jesus vor Pilatus	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/.html
48	Jesus vor Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/.html
49	Jesus wird verurteilt	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/.html
50	Jesus trägt sein Kreuz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/.html
51	Jesus wird gekreuzigt	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/.html
52	Die Soldaten teilen Jesus Kleider unter sich auf	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/.html
53	Das Schild am Kreuz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/.html
54	Gekreuzigte Verbrecher	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/.html
55	Jesus stirbt	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/.html
56	Jesus wird begraben	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/.html
57	Engel am Grab	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/.html
58	Das Grab ist leer	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/.html
59	Der auferstandene Jesus erscheint den Jüngern	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/.html
60	Missionsbefehl und Auffahrt in den Himmel	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/.html
61	Einladung, Jesus persönlich kennenzulernen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/.html
